ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64240,0,0,0,0,0,2,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,39292
1,0,,,,127,6,65535,1,0,0,0,0,18,0.079306000,,,,,0.079306000,0.079306000,0.079306000,0.079306000,88
1,0,,,,64,6,64256,1,1,0,0,0,16,0.000039000,,,,,0.079345000,0.000039000,0.079345000,0.000039000,39292
1,0,,,,64,6,64256,1,1,191,0,0,24,,,,,,0.079393000,0.000048000,0.079393000,0.000048000,39292
1,0,,,,127,6,262400,192,1,191,0,0,24,0.079763000,,,,,0.159156000,0.079763000,0.159156000,0.079763000,88
1,0,,,,64,6,64128,192,192,0,0,0,16,0.000029000,,,,,0.159185000,0.000029000,0.159185000,0.000029000,39292
1,0,,,,64,6,64128,192,192,0,0,0,17,,,,,,0.160170000,0.000985000,0.160170000,0.000985000,39292
1,0,,,,64,6,64240,0,0,0,1,0,2,,,,,,0.161070000,0.000900000,0.000000000,0.000000000,39296
1,0,,,,127,6,262400,193,192,0,0,0,16,0.078702000,,,,,0.238872000,0.077802000,0.238872000,0.078702000,88
1,0,,,,127,6,0,193,192,0,0,0,20,,,,,,0.238923000,0.000051000,0.238923000,0.000051000,88
1,0,,,,127,6,65535,1,0,0,1,0,18,0.078493000,,,,,0.239563000,0.000640000,0.078493000,0.078493000,88
1,0,,,,64,6,64256,1,1,0,1,0,16,0.000027000,,,,,0.239590000,0.000027000,0.078520000,0.000027000,39296
1,0,,,,64,6,64256,1,1,188,1,0,24,,,,,,0.239655000,0.000065000,0.078585000,0.000065000,39296
1,0,,,,127,6,262400,189,1,191,1,0,24,0.079167000,,,,,0.318822000,0.079167000,0.157752000,0.079167000,88
1,0,,,,64,6,64128,192,189,0,1,0,16,0.000026000,,,,,0.318848000,0.000026000,0.157778000,0.000026000,39296
1,0,,,,64,6,64128,192,189,0,1,0,17,,,,,,0.319747000,0.000899000,0.158677000,0.000899000,39296
1,0,,,,64,6,64240,0,0,0,2,0,2,,,,,,0.320805000,0.001058000,0.000000000,0.000000000,39300
1,0,,,,127,6,262400,190,192,0,1,0,16,0.078492000,,,,,0.398239000,0.077434000,0.237169000,0.078492000,88
1,0,,,,127,6,0,190,192,0,1,0,20,,,,,,0.398281000,0.000042000,0.237211000,0.000042000,88
1,0,,,,127,6,65535,1,0,0,2,0,18,0.078223000,,,,,0.399028000,0.000747000,0.078223000,0.078223000,88
1,0,,,,64,6,64256,1,1,0,2,0,16,0.000024000,,,,,0.399052000,0.000024000,0.078247000,0.000024000,39300
1,0,,,,64,6,64256,1,1,192,2,0,24,,,,,,0.399229000,0.000177000,0.078424000,0.000177000,39300
1,0,,,,127,6,262400,193,1,1288,2,0,16,0.079773000,,,,,0.479002000,0.079773000,0.158197000,0.079773000,88
1,0,,,,64,6,64128,1289,193,0,2,0,16,0.000033000,,,,,0.479035000,0.000033000,0.158230000,0.000033000,39300
1,0,,,,127,6,262400,193,1289,158,2,0,24,,1,1446,,,0.479060000,0.000025000,0.158255000,0.000025000,88
1,0,,,,64,6,64128,1447,193,0,2,0,16,0.000006000,,,,,0.479066000,0.000006000,0.158261000,0.000006000,39300
1,0,,,,64,6,64128,1447,193,0,2,0,17,,,,,,0.479778000,0.000712000,0.158973000,0.000712000,39300
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,0.481032000,0.001254000,0.000000000,0.000000000,39312
1,0,,,,127,6,262400,194,1447,0,2,0,16,0.078982000,,,,,0.558760000,0.077728000,0.237955000,0.078982000,88
1,0,,,,127,6,0,194,1447,0,2,0,20,,,,,,0.558803000,0.000043000,0.237998000,0.000043000,88
1,0,,,,127,6,65535,1,0,0,3,0,18,0.077794000,,,,,0.558826000,0.000023000,0.077794000,0.077794000,88
1,0,,,,64,6,64256,1,1,0,3,0,16,0.000017000,,,,,0.558843000,0.000017000,0.077811000,0.000017000,39312
1,0,,,,64,6,64256,1,1,188,3,0,24,,,,,,0.559018000,0.000175000,0.077986000,0.000175000,39312
1,0,,,,127,6,262400,189,1,191,3,0,24,0.079270000,,,,,0.638288000,0.079270000,0.157256000,0.079270000,88
