ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64240,0,0,0,0,0,2,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,51180
1,0,,,,63,6,26847,1,0,0,0,0,18,0.076152000,,,,,0.076152000,0.076152000,0.076152000,0.076152000,80
1,0,,,,64,6,64256,1,1,0,0,0,16,0.000049000,,,,,0.076201000,0.000049000,0.076201000,0.000049000,51180
1,0,,,,64,6,64256,1,1,411,0,0,24,,,,1,,0.076509000,0.000308000,0.076509000,0.000308000,51180
1,0,,,,63,6,28032,412,1,0,0,0,16,0.076932000,,,,,0.153441000,0.076932000,0.153441000,0.076932000,80
1,0,,,,63,6,28032,412,1,481,0,0,24,,,,,,0.153520000,0.000079000,0.153520000,0.000079000,80
1,0,,,,64,6,64128,482,412,0,0,0,16,0.000031000,,,,,0.153551000,0.000031000,0.153551000,0.000031000,51180
1,0,,,,64,6,64128,482,412,0,0,0,17,,,,,,0.153788000,0.000237000,0.153788000,0.000237000,51180
1,0,,,,64,6,64240,0,0,0,1,0,2,,,,,,0.154013000,0.000225000,0.000000000,0.000000000,51196
1,0,,,,64,6,64240,0,0,0,2,0,2,,,,,,0.154155000,0.000142000,0.000000000,0.000000000,51198
1,0,,,,63,6,28032,413,482,0,0,0,17,0.076138000,,,,,0.229926000,0.075771000,0.229926000,0.076138000,80
1,0,,,,64,6,64128,483,413,0,0,0,16,0.000050000,,,,,0.229976000,0.000050000,0.229976000,0.000050000,51180
1,0,,,,63,6,26847,1,0,0,1,0,18,0.076014000,,,,,0.230027000,0.000051000,0.076014000,0.076014000,80
1,0,,,,64,6,64256,1,1,0,1,0,16,0.000026000,,,,,0.230053000,0.000026000,0.076040000,0.000026000,51196
1,0,,,,63,6,26847,1,0,0,2,0,18,0.075919000,,,,,0.230074000,0.000021000,0.075919000,0.075919000,80
1,0,,,,64,6,64256,1,1,0,2,0,16,0.000011000,,,,,0.230085000,0.000011000,0.075930000,0.000011000,51198
1,0,,,,64,6,64256,1,1,318,2,0,24,,,,1,,0.230339000,0.000254000,0.076184000,0.000254000,51198
1,0,,,,64,6,64256,1,1,384,1,0,24,,,,1,,0.230347000,0.000008000,0.076334000,0.000294000,51196
1,0,,,,63,6,28032,319,1,0,2,0,16,0.079860000,,,,,0.310199000,0.079852000,0.156044000,0.079860000,80
1,0,,,,63,6,28032,385,1,0,1,0,16,0.079893000,,,,,0.310240000,0.000041000,0.156227000,0.079893000,80
1,0,,,,63,6,28032,319,1,481,2,0,24,,,,,,0.310269000,0.000029000,0.156114000,0.000070000,80
1,0,,,,64,6,64128,482,319,0,2,0,16,0.000015000,,,,,0.310284000,0.000015000,0.156129000,0.000015000,51198
1,0,,,,63,6,28032,385,1,481,1,0,24,,,,,,0.310304000,0.000020000,0.156291000,0.000064000,80
1,0,,,,64,6,64128,482,385,0,1,0,16,0.000006000,,,,,0.310310000,0.000006000,0.156297000,0.000006000,51196
1,0,,,,64,6,64128,482,319,0,2,0,17,,,,,,0.310384000,0.000074000,0.156229000,0.000100000,51198
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,0.310487000,0.000103000,0.000000000,0.000000000,51200
1,0,,,,64,6,64128,482,385,0,1,0,17,,,,,,0.310532000,0.000045000,0.156519000,0.000222000,51196
1,0,,,,64,6,64240,0,0,0,4,0,2,,,,,,0.310639000,0.000107000,0.000000000,0.000000000,51206
1,0,,,,64,6,64240,0,0,0,5,0,2,,,,,,0.310705000,0.000066000,0.000000000,0.000000000,51216
1,0,,,,64,6,64240,0,0,0,6,0,2,,,,,,0.311158000,0.000453000,0.000000000,0.000000000,51228
1,0,,,,63,6,28032,320,482,0,2,0,17,0.079638000,,,,,0.390022000,0.078864000,0.235867000,0.079638000,80
1,0,,,,64,6,64128,483,320,0,2,0,16,0.000044000,,,,,0.390066000,0.000044000,0.235911000,0.000044000,51198
1,0,,,,63,6,26847,1,0,0,3,0,18,0.079625000,,,,,0.390112000,0.000046000,0.079625000,0.079625000,80
1,0,,,,64,6,64256,1,1,0,3,0,16,0.000025000,,,,,0.390137000,0.000025000,0.079650000,0.000025000,51200
1,0,,,,63,6,26847,1,0,0,4,0,18,0.079518000,,,,,0.390157000,0.000020000,0.079518000,0.079518000,80
1,0,,,,64,6,64256,1,1,0,4,0,16,0.000014000,,,,,0.390171000,0.000014000,0.079532000,0.000014000,51206
1,0,,,,63,6,28032,386,482,0,1,0,17,0.079659000,,,,,0.390191000,0.000020000,0.236178000,0.079659000,80
