ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39292.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,0.0,0.0,18.0,0.079306,0.0,0.0,0.0,0.0,0.079306,0.079306,0.079306,0.079306,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,0.0,16.0,3.9e-05,0.0,0.0,0.0,0.0,0.079345,3.9e-05,0.079345,3.9e-05,39292.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,191.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.079393,4.8e-05,0.079393,4.8e-05,39292.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,192.0,1.0,191.0,0.0,0.0,24.0,0.079763,0.0,0.0,0.0,0.0,0.159156,0.079763,0.159156,0.079763,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,192.0,0.0,0.0,0.0,16.0,2.9e-05,0.0,0.0,0.0,0.0,0.159185,2.9e-05,0.159185,2.9e-05,39292.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,192.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.16017,0.000985,0.16017,0.000985,39292.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16107,0.0009,0.0,0.0,39296.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,193.0,192.0,0.0,0.0,0.0,16.0,0.078702,0.0,0.0,0.0,0.0,0.238872,0.077802,0.238872,0.078702,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,193.0,192.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.238923,5.1e-05,0.238923,5.1e-05,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,1.0,0.0,18.0,0.078493,0.0,0.0,0.0,0.0,0.239563,0.00064,0.078493,0.078493,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,1.0,0.0,16.0,2.7e-05,0.0,0.0,0.0,0.0,0.23959,2.7e-05,0.07852,2.7e-05,39296.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,188.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.239655,6.5e-05,0.078585,6.5e-05,39296.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,189.0,1.0,191.0,1.0,0.0,24.0,0.079167,0.0,0.0,0.0,0.0,0.318822,0.079167,0.157752,0.079167,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,189.0,0.0,1.0,0.0,16.0,2.6e-05,0.0,0.0,0.0,0.0,0.318848,2.6e-05,0.157778,2.6e-05,39296.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,189.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.319747,0.000899,0.158677,0.000899,39296.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.320805,0.001058,0.0,0.0,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,190.0,192.0,0.0,1.0,0.0,16.0,0.078492,0.0,0.0,0.0,0.0,0.398239,0.077434,0.237169,0.078492,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,190.0,192.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.398281,4.2e-05,0.237211,4.2e-05,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,2.0,0.0,18.0,0.078223,0.0,0.0,0.0,0.0,0.399028,0.000747,0.078223,0.078223,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,2.0,0.0,16.0,2.4e-05,0.0,0.0,0.0,0.0,0.399052,2.4e-05,0.078247,2.4e-05,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,192.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.399229,0.000177,0.078424,0.000177,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,193.0,1.0,1288.0,2.0,0.0,16.0,0.079773,0.0,0.0,0.0,0.0,0.479002,0.079773,0.158197,0.079773,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,1289.0,193.0,0.0,2.0,0.0,16.0,3.3e-05,0.0,0.0,0.0,0.0,0.479035,3.3e-05,0.15823,3.3e-05,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,193.0,1289.0,158.0,2.0,0.0,24.0,0.0,1.0,1446.0,0.0,0.0,0.47906,2.5e-05,0.158255,2.5e-05,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,1447.0,193.0,0.0,2.0,0.0,16.0,6e-06,0.0,0.0,0.0,0.0,0.479066,6e-06,0.158261,6e-06,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,1447.0,193.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.479778,0.000712,0.158973,0.000712,39300.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.481032,0.001254,0.0,0.0,39312.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,194.0,1447.0,0.0,2.0,0.0,16.0,0.078982,0.0,0.0,0.0,0.0,0.55876,0.077728,0.237955,0.078982,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,194.0,1447.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.558803,4.3e-05,0.237998,4.3e-05,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,3.0,0.0,18.0,0.077794,0.0,0.0,0.0,0.0,0.558826,2.3e-05,0.077794,0.077794,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,3.0,0.0,16.0,1.7e-05,0.0,0.0,0.0,0.0,0.558843,1.7e-05,0.077811,1.7e-05,39312.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,188.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.559018,0.000175,0.077986,0.000175,39312.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,189.0,1.0,191.0,3.0,0.0,24.0,0.07927,0.0,0.0,0.0,0.0,0.638288,0.07927,0.157256,0.07927,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,189.0,0.0,3.0,0.0,16.0,5.7e-05,0.0,0.0,0.0,0.0,0.638345,5.7e-05,0.157313,5.7e-05,39312.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,189.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.63967,0.001325,0.158638,0.001325,39312.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.641687,0.002017,0.0,0.0,39324.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,190.0,192.0,0.0,3.0,0.0,16.0,0.078609,0.0,0.0,0.0,0.0,0.718279,0.076592,0.237247,0.078609,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,190.0,192.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.718319,4e-05,0.237287,4e-05,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,4.0,0.0,18.0,0.07901,0.0,0.0,0.0,0.0,0.720697,0.002378,0.07901,0.07901,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,4.0,0.0,16.0,2.4e-05,0.0,0.0,0.0,0.0,0.720721,2.4e-05,0.079034,2.4e-05,39324.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,196.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.720758,3.7e-05,0.079071,3.7e-05,39324.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,197.0,1.0,191.0,4.0,0.0,24.0,0.079216,0.0,0.0,0.0,0.0,0.799974,0.079216,0.158287,0.079216,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,197.0,0.0,4.0,0.0,16.0,3e-05,0.0,0.0,0.0,0.0,0.800004,3e-05,0.158317,3e-05,39324.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,192.0,197.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.800517,0.000513,0.15883,0.000513,39324.0,asreproasting
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.801925,0.001408,0.0,0.0,39332.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,198.0,192.0,0.0,4.0,0.0,16.0,0.078912,0.0,0.0,0.0,0.0,0.879429,0.077504,0.237742,0.078912,88.0,asreproasting
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,198.0,192.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.879471,4.2e-05,0.237784,4.2e-05,88.0,asreproasting
