ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,0.0,0.0,18.0,0.076152,0.0,0.0,0.0,0.0,0.076152,0.076152,0.076152,0.076152,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,0.0,16.0,4.9e-05,0.0,0.0,0.0,0.0,0.076201,4.9e-05,0.076201,4.9e-05,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,411.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.076509,0.000308,0.076509,0.000308,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,412.0,1.0,0.0,0.0,0.0,16.0,0.076932,0.0,0.0,0.0,0.0,0.153441,0.076932,0.153441,0.076932,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,412.0,1.0,481.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.15352,7.9e-05,0.15352,7.9e-05,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,412.0,0.0,0.0,0.0,16.0,3.1e-05,0.0,0.0,0.0,0.0,0.153551,3.1e-05,0.153551,3.1e-05,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,412.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.153788,0.000237,0.153788,0.000237,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.154013,0.000225,0.0,0.0,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.154155,0.000142,0.0,0.0,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,413.0,482.0,0.0,0.0,0.0,17.0,0.076138,0.0,0.0,0.0,0.0,0.229926,0.075771,0.229926,0.076138,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,483.0,413.0,0.0,0.0,0.0,16.0,5e-05,0.0,0.0,0.0,0.0,0.229976,5e-05,0.229976,5e-05,51180.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,1.0,0.0,18.0,0.076014,0.0,0.0,0.0,0.0,0.230027,5.1e-05,0.076014,0.076014,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,1.0,0.0,16.0,2.6e-05,0.0,0.0,0.0,0.0,0.230053,2.6e-05,0.07604,2.6e-05,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,2.0,0.0,18.0,0.075919,0.0,0.0,0.0,0.0,0.230074,2.1e-05,0.075919,0.075919,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,2.0,0.0,16.0,1.1e-05,0.0,0.0,0.0,0.0,0.230085,1.1e-05,0.07593,1.1e-05,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,318.0,2.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.230339,0.000254,0.076184,0.000254,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,384.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.230347,8e-06,0.076334,0.000294,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,319.0,1.0,0.0,2.0,0.0,16.0,0.07986,0.0,0.0,0.0,0.0,0.310199,0.079852,0.156044,0.07986,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,385.0,1.0,0.0,1.0,0.0,16.0,0.079893,0.0,0.0,0.0,0.0,0.31024,4.1e-05,0.156227,0.079893,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,319.0,1.0,481.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.310269,2.9e-05,0.156114,7e-05,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,319.0,0.0,2.0,0.0,16.0,1.5e-05,0.0,0.0,0.0,0.0,0.310284,1.5e-05,0.156129,1.5e-05,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,385.0,1.0,481.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.310304,2e-05,0.156291,6.4e-05,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,385.0,0.0,1.0,0.0,16.0,6e-06,0.0,0.0,0.0,0.0,0.31031,6e-06,0.156297,6e-06,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,319.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.310384,7.4e-05,0.156229,0.0001,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.310487,0.000103,0.0,0.0,51200.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,385.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.310532,4.5e-05,0.156519,0.000222,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.310639,0.000107,0.0,0.0,51206.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.310705,6.6e-05,0.0,0.0,51216.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.311158,0.000453,0.0,0.0,51228.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,320.0,482.0,0.0,2.0,0.0,17.0,0.079638,0.0,0.0,0.0,0.0,0.390022,0.078864,0.235867,0.079638,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,483.0,320.0,0.0,2.0,0.0,16.0,4.4e-05,0.0,0.0,0.0,0.0,0.390066,4.4e-05,0.235911,4.4e-05,51198.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,3.0,0.0,18.0,0.079625,0.0,0.0,0.0,0.0,0.390112,4.6e-05,0.079625,0.079625,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,3.0,0.0,16.0,2.5e-05,0.0,0.0,0.0,0.0,0.390137,2.5e-05,0.07965,2.5e-05,51200.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,4.0,0.0,18.0,0.079518,0.0,0.0,0.0,0.0,0.390157,2e-05,0.079518,0.079518,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,4.0,0.0,16.0,1.4e-05,0.0,0.0,0.0,0.0,0.390171,1.4e-05,0.079532,1.4e-05,51206.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,386.0,482.0,0.0,1.0,0.0,17.0,0.079659,0.0,0.0,0.0,0.0,0.390191,2e-05,0.236178,0.079659,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,483.0,386.0,0.0,1.0,0.0,16.0,1e-05,0.0,0.0,0.0,0.0,0.390201,1e-05,0.236188,1e-05,51196.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,5.0,0.0,18.0,0.079522,0.0,0.0,0.0,0.0,0.390227,2.6e-05,0.079522,0.079522,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,5.0,0.0,16.0,1.4e-05,0.0,0.0,0.0,0.0,0.390241,1.4e-05,0.079536,1.4e-05,51216.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,26847.0,1.0,0.0,0.0,6.0,0.0,18.0,0.079104,0.0,0.0,0.0,0.0,0.390262,2.1e-05,0.079104,0.079104,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,6.0,0.0,16.0,1.2e-05,0.0,0.0,0.0,0.0,0.390274,1.2e-05,0.079116,1.2e-05,51228.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,317.0,4.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.390436,0.000162,0.079797,0.000265,51206.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,372.0,3.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.390446,1e-05,0.079959,0.000309,51200.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,346.0,6.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.39047,2.4e-05,0.079312,0.000196,51228.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,370.0,5.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.390645,0.000175,0.07994,0.000404,51216.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,318.0,1.0,0.0,4.0,0.0,16.0,0.076453,0.0,0.0,0.0,0.0,0.466889,0.076244,0.15625,0.076453,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,373.0,1.0,0.0,3.0,0.0,16.0,0.077422,0.0,0.0,0.0,0.0,0.467868,0.000979,0.157381,0.077422,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,347.0,1.0,0.0,6.0,0.0,16.0,0.077445,0.0,0.0,0.0,0.0,0.467915,4.7e-05,0.156757,0.077445,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,371.0,1.0,0.0,5.0,0.0,16.0,0.077295,0.0,0.0,0.0,0.0,0.46794,2.5e-05,0.157235,0.077295,80.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,318.0,1.0,481.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.467971,3.1e-05,0.157332,0.001082,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,318.0,0.0,4.0,0.0,16.0,2.4e-05,0.0,0.0,0.0,0.0,0.467995,2.4e-05,0.157356,2.4e-05,51206.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,373.0,1.0,481.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.46802,2.5e-05,0.157533,0.000152,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,373.0,0.0,3.0,0.0,16.0,8e-06,0.0,0.0,0.0,0.0,0.468028,8e-06,0.157541,8e-06,51200.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,347.0,1.0,481.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.468048,2e-05,0.15689,0.000133,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,347.0,0.0,6.0,0.0,16.0,8e-06,0.0,0.0,0.0,0.0,0.468056,8e-06,0.156898,8e-06,51228.0,ddos
1.0,0.0,0.0,0.0,0.0,63.0,6.0,28032.0,371.0,1.0,481.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.468078,2.2e-05,0.157373,0.000138,80.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,371.0,0.0,5.0,0.0,16.0,7e-06,0.0,0.0,0.0,0.0,0.468085,7e-06,0.15738,7e-06,51216.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,318.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.46823,0.000145,0.157591,0.000235,51206.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,373.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.468239,9e-06,0.157752,0.000211,51200.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,347.0,0.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.468389,0.00015,0.157231,0.000333,51228.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64128.0,482.0,371.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.468457,6.8e-05,0.157752,0.000372,51216.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.468474,1.7e-05,0.0,0.0,51234.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.46848,6e-06,0.0,0.0,51236.0,ddos
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.46857,9e-05,0.0,0.0,51248.0,ddos
