ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44045.0,0.0,0.0,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45099.0,1.1e-05,1.1e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42242.0,0.000604,0.000593,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50699.0,0.00063,2.6e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59431.0,0.000658,2.8e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49677.0,0.000665,7e-06,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50587.0,0.000699,3.4e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57042.0,0.000735,3.6e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46317.0,0.00109,0.000355,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44846.0,0.001168,7.8e-05,0.0,0.0,0.0,kerberos-userenum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50085.0,0.001175,7e-06,0.0,0.0,0.0,kerberos-userenum
