ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1054.0,1233.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,31.121875,0.001131,0.915391,0.001131,445.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53286.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,2.4e-05,0.0,0.0,52566.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,0.0,0.0,18.0,0.093842,0.0,0.0,0.0,0.0,0.093842,0.093818,0.093842,0.093842,80.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,0.0,16.0,3.3e-05,0.0,0.0,0.0,0.0,0.093875,3.3e-05,0.093875,3.3e-05,53286.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.093871,0.0,0.0,0.0,0.0,0.093895,2e-05,0.093871,0.093871,443.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.093971,7.6e-05,0.093971,9.6e-05,53286.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096086,0.002115,0.0,0.0,39540.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0961,1.4e-05,0.0,0.0,50066.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096111,1.1e-05,0.0,0.0,58952.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096123,1.2e-05,0.0,0.0,37494.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096133,1e-05,0.0,0.0,60294.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096145,1.2e-05,0.0,0.0,34638.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096166,1e-05,0.0,0.0,53594.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09618,1.4e-05,0.0,0.0,39200.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.096191,1.1e-05,0.0,0.0,52574.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,8192.0,1.0,0.0,0.0,3.0,0.0,18.0,0.077846,0.0,0.0,0.0,0.0,0.173946,0.077755,0.077846,0.077846,139.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,3.0,0.0,16.0,3.5e-05,0.0,0.0,0.0,0.0,0.173981,3.5e-05,0.077881,3.5e-05,50066.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.174439,0.000458,0.078339,0.000458,50066.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,20.0,0.078353,0.0,0.0,0.0,0.0,0.174439,0.0,0.078353,0.078353,554.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,4.0,0.0,18.0,0.078367,0.0,0.0,0.0,0.0,0.174478,3.9e-05,0.078367,0.078367,53.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,4.0,0.0,16.0,1.5e-05,0.0,0.0,0.0,0.0,0.174493,1.5e-05,0.078382,1.5e-05,58952.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1.0,1.0,0.0,5.0,0.0,20.0,0.078391,0.0,0.0,0.0,0.0,0.174514,2.1e-05,0.078391,0.078391,25.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.174532,1.8e-05,0.0,0.0,43074.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.174559,2.7e-05,0.0,0.0,37332.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.174579,2e-05,0.0,0.0,44714.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1.0,1.0,0.0,6.0,0.0,20.0,0.078451,0.0,0.0,0.0,0.0,0.174584,5e-06,0.078451,0.078451,199.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1746,1.6e-05,0.0,0.0,32964.0,nmap
1.0,0.0,0.0,0.0,0.0,127.0,6.0,0.0,1.0,1.0,0.0,7.0,0.0,20.0,0.078464,0.0,0.0,0.0,0.0,0.174609,9e-06,0.078464,0.078464,3306.0,nmap
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.174629,2e-05,0.078518,0.000136,58952.0,nmap
