ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42484.0,0.0,0.0,0.0,0.0,0.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42484.0,2.1e-05,2.1e-05,0.0,0.0,0.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.001653,0.001632,0.0,0.0,0.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.003512,0.001859,0.0,0.0,0.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.003677,0.000165,0.0,0.0,49958.0,normal
1.0,0.0,0.0,0.0,0.0,45.0,6.0,65160.0,1.0,0.0,0.0,0.0,0.0,18.0,0.011495,0.0,0.0,0.0,0.0,0.015172,0.011495,0.011495,0.011495,60514.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,0.0,0.0,16.0,2.9e-05,0.0,0.0,0.0,0.0,0.015201,2.9e-05,0.011524,2.9e-05,49958.0,normal
1.0,0.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,329.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.015466,0.000265,0.011789,0.000265,49958.0,normal
1.0,0.0,0.0,0.0,0.0,45.0,6.0,64896.0,330.0,1.0,0.0,0.0,0.0,16.0,0.020689,0.0,0.0,0.0,0.0,0.036155,0.020689,0.032478,0.020689,60514.0,normal
1.0,0.0,0.0,0.0,0.0,45.0,6.0,64896.0,330.0,1.0,2800.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.036156,1e-06,0.032479,1e-06,60514.0,normal
