ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,0.0,0.0,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,1.001099,1.001099,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,2.002216,1.001117,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,3.003339,1.001123,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,4.004455,1.001116,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42116.0,5.005572,1.001117,0.0,0.0,0.0,samba-enum
1.0,0.0,0.0,0.0,0.0,127.0,6.0,65535.0,1.0,0.0,0.0,0.0,0.0,18.0,0.078043,0.0,0.0,0.0,0.0,20.158303,0.072922,0.078043,0.078043,445.0,samba-enum
1.0,0.0,0.0,0.0,0.0,127.0,6.0,8192.0,1.0,0.0,0.0,1.0,0.0,18.0,0.077689,0.0,0.0,0.0,0.0,20.16307,0.00461,0.077689,0.077689,139.0,samba-enum
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262656.0,89.0,1.0,252.0,0.0,0.0,24.0,0.101798,0.0,0.0,0.0,0.0,20.260258,0.097171,0.179998,0.101798,445.0,samba-enum
1.0,0.0,0.0,0.0,0.0,127.0,6.0,262400.0,325.0,253.0,312.0,0.0,0.0,24.0,0.078372,0.0,0.0,0.0,0.0,20.338825,0.078372,0.258565,0.078372,445.0,samba-enum
