ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1,0,,,,64,17,,,,,,,,,,,,44045,0.000000000,0.000000000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45099,0.000011000,0.000011000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42242,0.000604000,0.000593000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50699,0.000630000,0.000026000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59431,0.000658000,0.000028000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49677,0.000665000,0.000007000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50587,0.000699000,0.000034000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,57042,0.000735000,0.000036000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,46317,0.001090000,0.000355000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,44846,0.001168000,0.000078000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50085,0.001175000,0.000007000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,40287,0.001210000,0.000035000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58932,0.001219000,0.000009000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53189,0.001255000,0.000036000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,57343,0.001307000,0.000052000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37610,0.001311000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36021,0.001315000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,51253,0.001350000,0.000035000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56945,0.001377000,0.000027000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,35745,0.001390000,0.000013000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50703,0.001397000,0.000007000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48675,0.001421000,0.000024000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34629,0.001425000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53335,0.001458000,0.000033000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34150,0.001464000,0.000006000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50115,0.001479000,0.000015000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56578,0.001531000,0.000052000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34220,0.001539000,0.000008000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34585,0.001545000,0.000006000,,,,kerberos-userenum
