ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64240,0,0,0,0,0,2,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,53286
1,0,,,,64,6,64240,0,0,0,1,0,2,,,,,,0.000024000,0.000024000,0.000000000,0.000000000,52566
1,0,,,,127,6,65535,1,0,0,0,0,18,0.093842000,,,,,0.093842000,0.093818000,0.093842000,0.093842000,80
1,0,,,,64,6,64256,1,1,0,0,0,16,0.000033000,,,,,0.093875000,0.000033000,0.093875000,0.000033000,53286
1,0,,,,127,6,0,1,1,0,1,0,20,0.093871000,,,,,0.093895000,0.000020000,0.093871000,0.093871000,443
1,0,,,,64,6,64256,1,1,0,0,0,20,,,,,,0.093971000,0.000076000,0.093971000,0.000096000,53286
1,0,,,,64,6,64240,0,0,0,2,0,2,,,,,,0.096086000,0.002115000,0.000000000,0.000000000,39540
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,0.096100000,0.000014000,0.000000000,0.000000000,50066
1,0,,,,64,6,64240,0,0,0,4,0,2,,,,,,0.096111000,0.000011000,0.000000000,0.000000000,58952
1,0,,,,64,6,64240,0,0,0,5,0,2,,,,,,0.096123000,0.000012000,0.000000000,0.000000000,37494
1,0,,,,64,6,64240,0,0,0,6,0,2,,,,,,0.096133000,0.000010000,0.000000000,0.000000000,60294
1,0,,,,64,6,64240,0,0,0,7,0,2,,,,,,0.096145000,0.000012000,0.000000000,0.000000000,34638
1,0,,,,64,6,64240,0,0,0,8,0,2,,,,,,0.096156000,0.000011000,0.000000000,0.000000000,46682
1,0,,,,64,6,64240,0,0,0,9,0,2,,,,,,0.096166000,0.000010000,0.000000000,0.000000000,53594
1,0,,,,64,6,64240,0,0,0,10,0,2,,,,,,0.096180000,0.000014000,0.000000000,0.000000000,39200
1,0,,,,64,6,64240,0,0,0,11,0,2,,,,,,0.096191000,0.000011000,0.000000000,0.000000000,52574
1,0,,,,127,6,8192,1,0,0,3,0,18,0.077846000,,,,,0.173946000,0.077755000,0.077846000,0.077846000,139
1,0,,,,64,6,64256,1,1,0,3,0,16,0.000035000,,,,,0.173981000,0.000035000,0.077881000,0.000035000,50066
1,0,,,,64,6,64256,1,1,0,3,0,20,,,,,,0.174439000,0.000458000,0.078339000,0.000458000,50066
1,0,,,,127,6,0,1,1,0,2,0,20,0.078353000,,,,,0.174439000,0.000000000,0.078353000,0.078353000,554
1,0,,,,127,6,65535,1,0,0,4,0,18,0.078367000,,,,,0.174478000,0.000039000,0.078367000,0.078367000,53
1,0,,,,64,6,64256,1,1,0,4,0,16,0.000015000,,,,,0.174493000,0.000015000,0.078382000,0.000015000,58952
1,0,,,,127,6,0,1,1,0,5,0,20,0.078391000,,,,,0.174514000,0.000021000,0.078391000,0.078391000,25
1,0,,,,64,6,64240,0,0,0,12,0,2,,,,,,0.174532000,0.000018000,0.000000000,0.000000000,43074
1,0,,,,64,6,64240,0,0,0,13,0,2,,,,,,0.174559000,0.000027000,0.000000000,0.000000000,37332
