ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,17,,,,,,,,,,,,42116,0.000000000,0.000000000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,1.001099000,1.001099000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,2.002216000,1.001117000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,3.003339000,1.001123000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,4.004455000,1.001116000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,5.005572000,1.001117000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,6.006692000,1.001120000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,7.007805000,1.001113000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,8.008925000,1.001120000,,,
1,0,,,,64,17,,,,,,,,,,,,42116,9.010042000,1.001117000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,10.050481000,1.040439000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,11.051567000,1.001086000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,12.052660000,1.001093000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,13.053744000,1.001084000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,14.053884000,1.000140000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,15.055018000,1.001134000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,16.056112000,1.001094000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,17.056351000,1.000239000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,18.057465000,1.001114000,,,
1,0,,,,64,17,,,,,,,,,,,,37028,19.058580000,1.001115000,,,
1,0,,,,64,6,64240,0,0,0,0,0,2,,,,,,20.080260000,1.021680000,0.000000000,0.000000000,43186
1,0,,,,64,6,64240,0,0,0,1,0,2,,,,,,20.085381000,0.005121000,0.000000000,0.000000000,45174
1,0,,,,127,6,65535,1,0,0,0,0,18,0.078043000,,,,,20.158303000,0.072922000,0.078043000,0.078043000,445
1,0,,,,64,6,64256,1,1,0,0,0,16,0.000031000,,,,,20.158334000,0.000031000,0.078074000,0.000031000,43186
1,0,,,,64,6,64256,1,1,88,0,0,24,,,,,,20.158460000,0.000126000,0.078200000,0.000126000,43186
1,0,,,,127,6,8192,1,0,0,1,0,18,0.077689000,,,,,20.163070000,0.004610000,0.077689000,0.077689000,139
1,0,,,,64,6,0,0,1,0,1,0,4,,,,,,20.163087000,0.000017000,0.077706000,0.000017000,45174
1,0,,,,127,6,262656,89,1,252,0,0,24,0.101798000,,,,,20.260258000,0.097171000,0.179998000,0.101798000,445
1,0,,,,64,6,64128,253,89,0,0,0,16,0.000037000,,,,,20.260295000,0.000037000,0.180035000,0.000037000,43186
1,0,,,,64,6,64128,253,89,236,0,0,24,,,,,,20.260453000,0.000158000,0.180193000,0.000158000,43186
1,0,,,,127,6,262400,325,253,312,0,0,24,0.078372000,,,,,20.338825000,0.078372000,0.258565000,0.078372000,445
1,0,,,,64,6,64128,565,325,166,0,0,24,0.003520000,,,,,20.342345000,0.003520000,0.262085000,0.003520000,43186
1,0,,,,127,6,262144,491,565,351,0,0,24,0.078523000,,,,,20.420868000,0.078523000,0.340608000,0.078523000,445
1,0,,,,64,6,64128,916,491,236,0,0,24,0.000284000,,,,,20.421152000,0.000284000,0.340892000,0.000284000,43186
1,0,,,,127,6,261888,727,916,85,0,0,24,0.078919000,,,,,20.500071000,0.078919000,0.419811000,0.078919000,445
1,0,,,,64,6,64128,1001,727,114,0,0,24,0.000254000,,,,,20.500325000,0.000254000,0.420065000,0.000254000,43186
1,0,,,,127,6,261888,841,1001,0,0,0,16,0.180701000,,,,,20.681026000,0.180701000,0.600766000,0.180701000,445
1,0,,,,127,6,261888,841,1001,84,0,0,24,,,,,,20.713068000,0.032042000,0.632808000,0.032042000,445
1,0,,,,64,6,64128,1085,841,72,0,0,24,0.000233000,,,,,20.713301000,0.000233000,0.633041000,0.000233000,43186
1,0,,,,127,6,261632,913,1085,72,0,0,24,0.078895000,,,,,20.792196000,0.078895000,0.711936000,0.078895000,445
1,0,,,,64,6,64128,1157,913,0,0,0,17,0.000152000,,,,,20.792348000,0.000152000,0.712088000,0.000152000,43186
1,0,,,,64,6,64240,0,0,0,2,0,2,,,,,,20.821411000,0.029063000,0.000000000,0.000000000,43190
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,20.826562000,0.005151000,0.000000000,0.000000000,45180
