ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,501,1,1,35,0,0,24,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,48020
1,0,,,,64,6,501,1,36,35,0,0,24,,,,,,0.008764000,0.008764000,0.008764000,0.008764000,48020
1,0,,,,52,6,311,71,1,0,0,0,16,0.042439000,,,,,0.051203000,0.042439000,0.051203000,0.042439000,443
1,0,,,,52,6,311,71,1,43,0,0,24,,,,,,0.108734000,0.057531000,0.108734000,0.057531000,443
1,0,,,,64,6,501,44,71,0,0,0,16,0.043714000,,,,,0.152448000,0.043714000,0.152448000,0.043714000,48020
1,0,,,,52,6,311,71,44,40,0,0,24,,,,,,0.213936000,0.061488000,0.213936000,0.061488000,443
1,0,,,,64,6,501,84,71,0,0,0,16,0.000050000,,,,,0.213986000,0.000050000,0.213986000,0.000050000,48020
1,0,,,,52,6,311,71,84,52,0,0,24,,,,,,0.261000000,0.047014000,0.261000000,0.047014000,443
1,0,,,,64,6,501,136,71,0,0,0,16,0.000054000,,,,,0.261054000,0.000054000,0.261054000,0.000054000,48020
1,0,,,,52,6,311,71,136,43,0,0,24,,,,,,0.320382000,0.059328000,0.320382000,0.059328000,443
1,0,,,,64,6,501,179,71,0,0,0,16,0.000037000,,,,,0.320419000,0.000037000,0.320419000,0.000037000,48020
1,0,,,,64,6,501,1,1,62,1,0,24,,,,,,0.519421000,0.199002000,0.000000000,0.000000000,35946
1,0,,,,85,6,297,63,1,0,1,0,16,0.018011000,,,,,0.537432000,0.018011000,0.018011000,0.018011000,443
1,0,,,,52,6,311,71,179,43,0,0,24,,,,,,0.641353000,0.103921000,0.641353000,0.320934000,443
1,0,,,,64,6,501,222,71,0,0,0,16,0.000046000,,,,,0.641399000,0.000046000,0.641399000,0.000046000,48020
1,0,,,,120,6,16385,1,1,46,2,0,24,,,,,,1.065354000,0.423955000,0.000000000,0.000000000,443
1,0,,,,64,6,501,47,1,42,2,0,24,0.006423000,,,,,1.071777000,0.006423000,0.006423000,0.006423000,48746
1,0,,,,120,6,16385,43,47,0,2,0,16,0.008908000,,,,,1.080685000,0.008908000,0.015331000,0.008908000,443
1,0,,,,64,6,501,47,43,42,2,0,24,,,,,,1.080720000,0.000035000,0.015366000,0.000035000,48746
1,0,,,,120,6,16385,85,47,0,2,0,16,0.008550000,,,,,1.089270000,0.008550000,0.023916000,0.008550000,443
1,0,,,,52,6,311,71,222,47,0,0,24,,,,,,1.167564000,0.078294000,1.167564000,0.526165000,443
1,0,,,,64,6,501,269,71,0,0,0,16,0.000030000,,,,,1.167594000,0.000030000,1.167594000,0.000030000,48020
1,0,,,,52,6,311,71,269,51,0,0,24,,,,,,1.526419000,0.358825000,1.526419000,0.358825000,443
1,0,,,,64,6,501,320,71,0,0,0,16,0.000057000,,,,,1.526476000,0.000057000,1.526476000,0.000057000,48020
1,0,,,,52,6,311,71,320,49,0,0,24,,,,,,2.255154000,0.728678000,2.255154000,0.728678000,443
1,0,,,,64,6,501,369,71,0,0,0,16,0.000039000,,,,,2.255193000,0.000039000,2.255193000,0.000039000,48020
1,0,,,,52,6,311,71,369,41,0,0,24,,,,,,2.262851000,0.007658000,2.262851000,0.007658000,443
1,0,,,,64,6,501,410,71,0,0,0,16,0.000052000,,,,,2.262903000,0.000052000,2.262903000,0.000052000,48020
1,0,,,,52,6,311,71,410,43,0,0,24,,,,,,3.190635000,0.927732000,3.190635000,0.927732000,443
1,0,,,,64,6,501,453,71,0,0,0,16,0.000060000,,,,,3.190695000,0.000060000,3.190695000,0.000060000,48020
1,0,,,,52,6,311,71,453,46,0,0,24,,,,,,3.890266000,0.699571000,3.890266000,0.699571000,443
1,0,,,,64,6,501,499,71,0,0,0,16,0.000038000,,,,,3.890304000,0.000038000,3.890304000,0.000038000,48020
1,0,,,,52,6,311,71,499,48,0,0,24,,,,,,4.174547000,0.284243000,4.174547000,0.284243000,443
1,0,,,,64,6,501,547,71,0,0,0,16,0.000039000,,,,,4.174586000,0.000039000,4.174586000,0.000039000,48020
1,0,,,,52,6,311,71,547,44,0,0,24,,,,,,4.654508000,0.479922000,4.654508000,0.479922000,443
1,0,,,,64,6,501,591,71,0,0,0,16,0.000028000,,,,,4.654536000,0.000028000,4.654536000,0.000028000,48020
1,0,,,,52,6,311,71,591,44,0,0,24,,,,,,4.804864000,0.150328000,4.804864000,0.150328000,443
1,0,,,,64,6,501,635,71,0,0,0,16,0.000041000,,,,,4.804905000,0.000041000,4.804905000,0.000041000,48020
1,0,,,,52,6,311,71,635,48,0,0,24,,,,,,5.248279000,0.443374000,5.248279000,0.443374000,443
1,0,,,,64,6,501,683,71,0,0,0,16,0.000028000,,,,,5.248307000,0.000028000,5.248307000,0.000028000,48020
1,0,,,,64,6,501,683,71,35,0,0,24,,,,,,5.255787000,0.007480000,5.255787000,0.007480000,48020
1,0,,,,64,6,501,683,106,35,0,0,24,,,,,,5.257086000,0.001299000,5.257086000,0.001299000,48020
1,0,,,,52,6,311,141,683,0,0,0,16,0.041948000,,,,,5.299034000,0.041948000,5.299034000,0.041948000,443
1,0,,,,52,6,311,141,683,46,0,0,24,,,,,,5.411000000,0.111966000,5.411000000,0.111966000,443
1,0,,,,64,6,501,729,141,0,0,0,16,0.041447000,,,,,5.452447000,0.041447000,5.452447000,0.041447000,48020
,,,,,,,,,,,,,,,,,,,5.541696000,0.089249000,,,
,,,,,,,,,,,,,,,,,,,5.541719000,0.000023000,,,
1,0,,,,52,6,311,141,729,43,0,0,24,,,,,,5.871459000,0.329740000,5.871459000,0.419012000,443
1,0,,,,64,6,501,772,141,0,0,0,16,0.000038000,,,,,5.871497000,0.000038000,5.871497000,0.000038000,48020
1,0,,,,52,6,311,141,772,43,0,0,24,,,,,,5.875587000,0.004090000,5.875587000,0.004090000,443
1,0,,,,64,6,501,815,141,0,0,0,16,0.000029000,,,,,5.875616000,0.000029000,5.875616000,0.000029000,48020
