ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,17,,,,,,,,,,,,42484,0.000000000,0.000000000,,,
1,0,,,,64,17,,,,,,,,,,,,42484,0.000021000,0.000021000,,,
1,0,,,,64,17,,,,,,,,,,,,53,0.001653000,0.001632000,,,
1,0,,,,64,17,,,,,,,,,,,,53,0.003512000,0.001859000,,,
1,0,,,,64,6,64240,0,0,0,0,0,2,,,,,,0.003677000,0.000165000,0.000000000,0.000000000,49958
1,0,,,,45,6,65160,1,0,0,0,0,18,0.011495000,,,,,0.015172000,0.011495000,0.011495000,0.011495000,60514
1,0,,,,64,6,64256,1,1,0,0,0,16,0.000029000,,,,,0.015201000,0.000029000,0.011524000,0.000029000,49958
1,0,,,,64,6,64256,1,1,329,0,0,24,,,,,,0.015466000,0.000265000,0.011789000,0.000265000,49958
1,0,,,,45,6,64896,330,1,0,0,0,16,0.020689000,,,,,0.036155000,0.020689000,0.032478000,0.020689000,60514
1,0,,,,45,6,64896,330,1,2800,0,0,24,,,,,,0.036156000,0.000001000,0.032479000,0.000001000,60514
1,0,,,,45,6,64896,330,2801,1296,0,0,24,,1,3527,,,0.036158000,0.000002000,0.032481000,0.000002000,60514
1,0,,,,64,6,63488,2801,330,0,0,0,16,0.000047000,,,,,0.036203000,0.000045000,0.032526000,0.000045000,49958
1,0,,,,64,6,62592,4097,330,0,0,0,16,0.000059000,,,,,0.036217000,0.000014000,0.032540000,0.000014000,49958
1,0,,,,45,6,64896,330,4097,19,0,0,24,,1,74,,,0.047539000,0.011322000,0.043862000,0.011322000,60514
1,0,,,,64,6,64128,4116,330,0,0,0,16,0.000024000,,,,,0.047563000,0.000024000,0.043886000,0.000024000,49958
1,0,,,,64,6,64128,4116,330,1400,0,0,16,,,,,,0.049340000,0.001777000,0.045663000,0.001777000,49958
1,0,,,,64,6,64128,4116,1730,1400,0,0,16,,,,,,0.049351000,0.000011000,0.045674000,0.000011000,49958
1,0,,,,64,6,64128,4116,3130,1144,0,0,24,,1,3578,,,0.049355000,0.000004000,0.045678000,0.000004000,49958
1,0,,,,64,6,64128,4116,4274,157,0,0,24,,,,,,0.056588000,0.007233000,0.052911000,0.007233000,49958
1,0,,,,45,6,64128,1730,4116,0,0,0,16,0.011550000,,,,,0.060890000,0.004302000,0.057213000,0.004302000,60514
1,0,,,,45,6,63488,3130,4116,0,0,0,16,0.011540000,,,,,0.060891000,0.000001000,0.057214000,0.000001000,60514
1,0,,,,45,6,62592,4274,4116,0,0,0,16,0.011536000,,,,,0.060891000,0.000000000,0.057214000,0.000000000,60514
1,0,,,,45,6,64128,4274,4116,1400,0,0,16,,,,,,0.061966000,0.001075000,0.058289000,0.001075000,60514
1,0,,,,45,6,64128,4274,5516,215,0,0,24,,1,1615,,,0.062004000,0.000038000,0.058327000,0.000038000,60514
